municipio_cod;municipio_fato;risp;rmbh
310010;ABADIA DOS DOURADOS;10º RISP - Patos de Minas;3) Interior de MG
310020;ABAETE;7º RISP - Divinópolis;3) Interior de MG
310030;ABRE-CAMPO;12º RISP - Ipatinga;3) Interior de MG
310040;ACAIACA;12º RISP - Ipatinga;3) Interior de MG
310050;ACUCENA;12º RISP - Ipatinga;3) Interior de MG
310060;AGUA BOA;14º RISP - Curvelo;3) Interior de MG
310070;AGUA COMPRIDA;5º RISP - Uberaba;3) Interior de MG
310080;AGUANIL;6º RISP - Lavras;3) Interior de MG
310090;AGUAS FORMOSAS;15º RISP - Teófilo Otoni;3) Interior de MG
310100;AGUAS VERMELHAS;15º RISP - Teófilo Otoni;3) Interior de MG
310110;AIMORES;8º RISP - Governador Valadares;3) Interior de MG
310120;AIURUOCA;17º RISP - Pouso Alegre;3) Interior de MG
310130;ALAGOA;17º RISP - Pouso Alegre;3) Interior de MG
310140;ALBERTINA;17º RISP - Pouso Alegre;3) Interior de MG
310150;ALEM PARAIBA;4º RISP - Juiz de Fora;3) Interior de MG
310160;ALFENAS;18º RISP - Poços de Caldas;3) Interior de MG
310163;ALFREDO VASCONCELOS;13º RISP - Barbacena;3) Interior de MG
310170;ALMENARA;15º RISP - Teófilo Otoni;3) Interior de MG
310180;ALPERCATA;8º RISP - Governador Valadares;3) Interior de MG
310190;ALPINOPOLIS;18º RISP - Poços de Caldas;3) Interior de MG
310200;ALTEROSA;18º RISP - Poços de Caldas;3) Interior de MG
310205;ALTO CAPARAO;12º RISP - Ipatinga;3) Interior de MG
310210;ALTO RIO DOCE;13º RISP - Barbacena;3) Interior de MG
310220;ALVARENGA;8º RISP - Governador Valadares;3) Interior de MG
310230;ALVINOPOLIS;12º RISP - Ipatinga;3) Interior de MG
310240;ALVORADA DE MINAS;14º RISP - Curvelo;3) Interior de MG
310250;AMPARO DA SERRA;12º RISP - Ipatinga;3) Interior de MG
310260;ANDRADAS;18º RISP - Poços de Caldas;3) Interior de MG
310270;CACHOEIRA DE PAJEU;15º RISP - Teófilo Otoni;3) Interior de MG
310280;ANDRELANDIA;13º RISP - Barbacena;3) Interior de MG
310285;ANGELANDIA;14º RISP - Curvelo;3) Interior de MG
310290;ANTONIO CARLOS;13º RISP - Barbacena;3) Interior de MG
310300;ANTONIO DIAS;12º RISP - Ipatinga;3) Interior de MG
310310;ANTONIO PRADO DE MINAS;4º RISP - Juiz de Fora;3) Interior de MG
310320;ARACAI;19º RISP - Sete Lagoas;3) Interior de MG
310330;ARACITABA;13º RISP - Barbacena;3) Interior de MG
310340;ARACUAI;15º RISP - Teófilo Otoni;3) Interior de MG
310350;ARAGUARI;9º RISP - Uberlândia;3) Interior de MG
310360;ARANTINA;13º RISP - Barbacena;3) Interior de MG
310370;ARAPONGA;4º RISP - Juiz de Fora;3) Interior de MG
310375;ARAPORA;9º RISP - Uberlândia;3) Interior de MG
310380;ARAPUA;10º RISP - Patos de Minas;3) Interior de MG
310390;ARAUJOS;7º RISP - Divinópolis;3) Interior de MG
310400;ARAXA;5º RISP - Uberaba;3) Interior de MG
310410;ARCEBURGO;18º RISP - Poços de Caldas;3) Interior de MG
310420;ARCOS;7º RISP - Divinópolis;3) Interior de MG
310430;AREADO;18º RISP - Poços de Caldas;3) Interior de MG
310440;ARGIRITA;4º RISP - Juiz de Fora;3) Interior de MG
310445;ARICANDUVA;14º RISP - Curvelo;3) Interior de MG
310450;ARINOS;16º RISP - Unaí;3) Interior de MG
310460;ASTOLFO DUTRA;4º RISP - Juiz de Fora;3) Interior de MG
310470;ATALEIA;15º RISP - Teófilo Otoni;3) Interior de MG
310480;AUGUSTO DE LIMA;14º RISP - Curvelo;3) Interior de MG
310490;BAEPENDI;17º RISP - Pouso Alegre;3) Interior de MG
310500;BALDIM;19º RISP - Sete Lagoas;2) RMBH (sem BH)
310510;BAMBUI;7º RISP - Divinópolis;3) Interior de MG
310520;BANDEIRA;15º RISP - Teófilo Otoni;3) Interior de MG
310530;BANDEIRA DO SUL;18º RISP - Poços de Caldas;3) Interior de MG
310540;BARAO DE COCAIS;12º RISP - Ipatinga;3) Interior de MG
310550;BARAO DO MONTE ALTO;4º RISP - Juiz de Fora;3) Interior de MG
310560;BARBACENA;13º RISP - Barbacena;3) Interior de MG
310570;BARRA LONGA;12º RISP - Ipatinga;3) Interior de MG
310590;BARROSO;13º RISP - Barbacena;3) Interior de MG
310600;BELA VISTA DE MINAS;12º RISP - Ipatinga;3) Interior de MG
